Date,Time,Hspd(rpm),PID#,Vbec(V),*Cnt,*Skp,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Vbat(V),Curr(A),Capa(mAh),Bat%(%),Cel#,Vcel(V),Tesc(°C),Alt(m),MDL#,Rud,Ele,Thr,Ail,SB,SC,SD,SE,SF,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-15,14:25:39.340,2118,3,7.91,306,1,-76,-73,100,9,1,29,25,-80,100,8,27.53,40.73,324,93,7,3.93,40,14.88,0,-287,330,-724,137,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1568,1665,1138,1357,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:40.340,2122,3,7.93,308,1,-88,-76,100,9,1,29,25,-82,100,8,27.50,41.28,335,93,7,3.92,40,22.58,0,-222,320,-673,99,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1549,1660,1164,1389,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:41.340,2140,3,7.92,310,1,-83,-82,100,8,1,29,25,-74,100,8,27.53,36.89,346,93,7,3.93,41,27.75,0,-181,324,-609,43,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1521,1662,1196,1410,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:42.340,2140,3,7.92,311,1,-87,-89,100,8,1,29,25,-78,100,8,27.20,39.03,351,92,7,3.88,41,27.52,0,-115,2,-789,630,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1815,1501,1106,1443,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:43.340,2095,3,7.92,313,1,-81,-81,100,9,1,29,25,-87,100,8,26.88,70.39,364,92,7,3.84,41,24.14,0,-133,-165,-387,116,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1558,1418,1307,1434,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:44.340,2210,3,7.90,315,1,-66,-60,100,9,1,29,10,-78,100,8,28.10,11.34,374,92,7,3.93,41,10.81,0,-381,6,-583,-51,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1475,1503,1209,1310,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:45.340,2123,3,7.93,317,1,-86,-74,100,9,1,29,10,-64,100,8,27.28,26.07,381,92,7,3.89,41,6.15,0,4,4,720,5,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1502,1502,1860,1502,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:46.340,2185,3,7.91,319,1,-72,-67,100,9,1,29,10,-58,100,8,27.76,24.74,389,92,7,3.96,41,0.13,0,-146,-15,639,11,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1505,1493,1819,1427,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:47.340,2118,3,7.92,321,1,-65,-72,100,9,1,29,10,-54,100,8,27.60,33.89,398,92,7,3.94,41,3.38,0,-177,-8,602,7,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1503,1496,1801,1412,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-08-15,14:25:48.340,2131,3,7.91,323,1,-69,-61,100,9,1,29,10,-59,100,8,27.60,32.59,403,91,7,3.94,41,4.37,0,17,-404,826,-218,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0x0000000000000000,1391,1298,1913,1508,2012,2012,2012,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
